epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1293.94,1.0753,0.48515,1.09787,0.97664,0.96423,0.97294,0.62576,1.28497,0.49165,1.25141,0.000424187,0.000424187,0.000424187
43,1323.37,1.07386,0.48099,1.09592,0.96853,0.95717,0.97448,0.6254,1.28038,0.49208,1.24964,0.000417119,0.000417119,0.000417119
44,1354.93,1.0707,0.47962,1.09697,0.97365,0.96186,0.97607,0.62645,1.29866,0.49687,1.27432,0.00041005,0.00041005,0.00041005
45,1385.23,1.07172,0.47519,1.08675,0.97167,0.96491,0.97394,0.61942,1.29676,0.49855,1.26415,0.000402982,0.000402982,0.000402982
46,1413.89,1.06273,0.48202,1.08165,0.97427,0.95228,0.974,0.62935,1.28414,0.49495,1.25433,0.000395913,0.000395913,0.000395913
47,1444.88,1.05684,0.46776,1.08281,0.97101,0.96172,0.97452,0.63007,1.28111,0.48606,1.25737,0.000388844,0.000388844,0.000388844
48,1471.45,1.05627,0.46161,1.09477,0.97859,0.95297,0.9701,0.62926,1.28063,0.49512,1.25087,0.000381776,0.000381776,0.000381776
49,1498.16,1.04102,0.46577,1.0746,0.97383,0.9606,0.97612,0.63271,1.26741,0.49133,1.24897,0.000374707,0.000374707,0.000374707
50,1531.1,1.04701,0.45571,1.0833,0.97901,0.95186,0.97315,0.6277,1.28716,0.50363,1.26034,0.000367639,0.000367639,0.000367639
51,1557.96,1.04572,0.46206,1.08906,0.97285,0.9568,0.96953,0.63052,1.27859,0.49914,1.26416,0.00036057,0.00036057,0.00036057
52,1584.94,1.04476,0.47047,1.08181,0.98152,0.95835,0.97189,0.62689,1.27025,0.48334,1.25897,0.000353501,0.000353501,0.000353501
53,1613.18,1.04169,0.46824,1.08062,0.97476,0.95999,0.97549,0.62485,1.27635,0.48561,1.25255,0.000346433,0.000346433,0.000346433
54,1641.25,1.02057,0.44993,1.07071,0.97626,0.96414,0.97398,0.62653,1.28866,0.487,1.2715,0.000339364,0.000339364,0.000339364
55,1668.82,1.00484,0.44902,1.06896,0.9786,0.95921,0.97139,0.63149,1.28893,0.4937,1.27295,0.000332296,0.000332296,0.000332296
56,1700.98,1.03379,0.45105,1.06975,0.97859,0.96442,0.97352,0.63299,1.28193,0.48259,1.26305,0.000325227,0.000325227,0.000325227
57,1733.26,1.01473,0.44042,1.07244,0.97487,0.96097,0.97345,0.63149,1.28516,0.48561,1.26594,0.000318158,0.000318158,0.000318158
58,1762.29,1.02004,0.44348,1.07195,0.98366,0.95294,0.973,0.63061,1.28656,0.48564,1.26561,0.00031109,0.00031109,0.00031109
59,1794.64,0.99628,0.4373,1.06978,0.97469,0.95989,0.97208,0.62795,1.28151,0.48414,1.26684,0.000304021,0.000304021,0.000304021
60,1822.69,1.00698,0.44068,1.06344,0.97637,0.96292,0.97297,0.6282,1.29097,0.47551,1.26765,0.000296953,0.000296953,0.000296953
61,1852.36,0.9929,0.42603,1.05928,0.97665,0.9571,0.97555,0.62971,1.29045,0.47408,1.276,0.000289884,0.000289884,0.000289884
62,1884.71,0.99541,0.43197,1.06692,0.97198,0.96634,0.97473,0.62488,1.29668,0.48013,1.28235,0.000282815,0.000282815,0.000282815
63,1913.19,0.97095,0.42558,1.05715,0.97223,0.95621,0.97308,0.62402,1.29184,0.49181,1.28612,0.000275747,0.000275747,0.000275747
64,1942.75,0.97221,0.42789,1.04769,0.9763,0.95955,0.97567,0.62698,1.30106,0.48015,1.28259,0.000268678,0.000268678,0.000268678
65,1975.24,0.98018,0.42503,1.06471,0.97696,0.96258,0.97606,0.61592,1.32325,0.47785,1.2995,0.00026161,0.00026161,0.00026161
66,2002.76,0.97547,0.43421,1.06245,0.98247,0.95742,0.97326,0.62058,1.30781,0.4721,1.28256,0.000254541,0.000254541,0.000254541
67,2033.22,0.96451,0.4239,1.03922,0.98038,0.96217,0.97393,0.63075,1.29935,0.47438,1.2759,0.000247472,0.000247472,0.000247472
68,2061.73,0.9631,0.41728,1.04718,0.97993,0.95756,0.97471,0.61651,1.32035,0.47377,1.29973,0.000240404,0.000240404,0.000240404
69,2089.44,0.95763,0.41945,1.04249,0.97914,0.9575,0.97364,0.62076,1.32928,0.47398,1.31137,0.000233335,0.000233335,0.000233335
70,2117.59,0.94476,0.4112,1.0391,0.98107,0.96536,0.97646,0.62748,1.31337,0.47323,1.28584,0.000226267,0.000226267,0.000226267
71,2149.84,0.9445,0.41239,1.04206,0.98226,0.95866,0.97542,0.62644,1.31641,0.46466,1.28964,0.000219198,0.000219198,0.000219198
72,2182.91,0.93294,0.40248,1.03709,0.97962,0.96262,0.97584,0.62276,1.31568,0.47424,1.29843,0.000212129,0.000212129,0.000212129
73,2215.47,0.92259,0.40449,1.02712,0.97608,0.97081,0.97634,0.61662,1.33636,0.48152,1.31728,0.000205061,0.000205061,0.000205061
74,2242.43,0.92449,0.40575,1.02881,0.97929,0.95962,0.97654,0.63097,1.30813,0.48042,1.29481,0.000197992,0.000197992,0.000197992
75,2269.12,0.9187,0.40548,1.02402,0.97393,0.96789,0.97721,0.61937,1.33163,0.47359,1.31024,0.000190924,0.000190924,0.000190924
76,2301.41,0.91625,0.41377,1.03188,0.97834,0.96625,0.97931,0.62584,1.30951,0.46573,1.29889,0.000183855,0.000183855,0.000183855
77,2334.5,0.91483,0.39901,1.02307,0.97528,0.97151,0.97886,0.62492,1.32463,0.47318,1.30822,0.000176786,0.000176786,0.000176786
78,2362.39,0.91375,0.3959,1.02434,0.97649,0.96466,0.97697,0.62083,1.32331,0.47868,1.31273,0.000169718,0.000169718,0.000169718
79,2394.01,0.9082,0.40082,1.03458,0.97909,0.96327,0.97699,0.61979,1.33129,0.47033,1.32442,0.000162649,0.000162649,0.000162649
80,2425.91,0.90358,0.39384,1.02257,0.9728,0.96854,0.97719,0.6278,1.30402,0.4626,1.30515,0.000155581,0.000155581,0.000155581
81,2455.02,0.8875,0.38704,1.02628,0.97481,0.96494,0.97626,0.62042,1.32238,0.46909,1.31426,0.000148512,0.000148512,0.000148512
82,2482.53,0.88638,0.3873,1.01948,0.9732,0.96342,0.97691,0.61789,1.32896,0.47287,1.32506,0.000141443,0.000141443,0.000141443
83,2512.46,0.87514,0.38376,1.00551,0.97445,0.96714,0.97703,0.62116,1.3277,0.47042,1.32208,0.000134375,0.000134375,0.000134375
84,2543.47,0.86641,0.3745,1.00018,0.96621,0.97065,0.97706,0.62229,1.32745,0.46854,1.31792,0.000127306,0.000127306,0.000127306
85,2576.01,0.86825,0.37812,1.01265,0.97213,0.96871,0.97539,0.62121,1.32456,0.47107,1.31898,0.000120238,0.000120238,0.000120238
86,2604.92,0.86826,0.38777,1.01445,0.97861,0.97114,0.97723,0.61936,1.32839,0.46856,1.32588,0.000113169,0.000113169,0.000113169
87,2632.52,0.86126,0.38033,1.00371,0.97575,0.96896,0.97826,0.62292,1.32117,0.46459,1.32377,0.0001061,0.0001061,0.0001061
88,2666.36,0.83932,0.3619,0.99697,0.97475,0.96777,0.97946,0.62176,1.32613,0.46433,1.32996,9.90318e-05,9.90318e-05,9.90318e-05
89,2695,0.83889,0.36989,1.00345,0.97095,0.97094,0.97961,0.62051,1.32914,0.46507,1.33683,9.19632e-05,9.19632e-05,9.19632e-05
90,2722.53,0.83648,0.36957,0.99642,0.96863,0.97163,0.9787,0.62244,1.32449,0.46179,1.33771,8.48946e-05,8.48946e-05,8.48946e-05
91,2755.99,0.83412,0.34359,1.03188,0.97759,0.96479,0.97827,0.62132,1.32848,0.45686,1.34325,7.7826e-05,7.7826e-05,7.7826e-05
92,2789.12,0.81305,0.33482,1.01453,0.98025,0.96738,0.9785,0.6233,1.31904,0.46311,1.33686,7.07574e-05,7.07574e-05,7.07574e-05
93,2814.37,0.8038,0.32878,1.00393,0.97616,0.9704,0.97884,0.62452,1.32849,0.46481,1.33967,6.36888e-05,6.36888e-05,6.36888e-05
94,2842.42,0.80182,0.32926,1.00334,0.97388,0.971,0.97854,0.62335,1.32932,0.46511,1.33924,5.66202e-05,5.66202e-05,5.66202e-05
95,2875.01,0.78265,0.32274,1.00625,0.97376,0.97236,0.97866,0.62294,1.32701,0.45895,1.33971,4.95516e-05,4.95516e-05,4.95516e-05
96,2902.51,0.78111,0.32245,1.00424,0.97439,0.97038,0.97906,0.62107,1.33182,0.46161,1.34537,4.2483e-05,4.2483e-05,4.2483e-05
97,2934.91,0.77841,0.32019,0.99367,0.97442,0.97044,0.97844,0.62327,1.33063,0.45792,1.34513,3.54144e-05,3.54144e-05,3.54144e-05
98,2967.82,0.77697,0.32092,1.00688,0.97438,0.96989,0.97882,0.62557,1.32803,0.45873,1.34672,2.83458e-05,2.83458e-05,2.83458e-05
99,2998.57,0.78013,0.32147,0.99744,0.97529,0.96999,0.97854,0.62349,1.33141,0.46148,1.34665,2.12772e-05,2.12772e-05,2.12772e-05
100,3024.1,0.74998,0.30908,0.98821,0.97639,0.97016,0.97872,0.62243,1.32874,0.45718,1.34734,1.42086e-05,1.42086e-05,1.42086e-05
