epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,529.676,1.06926,0.50161,1.13648,0.9652,0.95404,0.97097,0.61499,1.30458,0.53157,1.32166,0.000424187,0.000424187,0.000424187
43,541.957,1.0648,0.49437,1.14221,0.97479,0.94639,0.96904,0.61721,1.27538,0.52851,1.30387,0.000417119,0.000417119,0.000417119
44,554.336,1.06769,0.4947,1.14846,0.97714,0.95297,0.97146,0.611,1.29831,0.51946,1.32921,0.00041005,0.00041005,0.00041005
45,567.002,1.06681,0.47823,1.14651,0.96605,0.93973,0.96899,0.61905,1.30777,0.54198,1.31492,0.000402982,0.000402982,0.000402982
46,579.164,1.06071,0.48655,1.13561,0.96554,0.95968,0.96744,0.60986,1.30265,0.52049,1.32655,0.000395913,0.000395913,0.000395913
47,591.293,1.05257,0.47266,1.13303,0.9704,0.95011,0.96884,0.61738,1.30029,0.50948,1.31994,0.000388844,0.000388844,0.000388844
48,603.193,1.04633,0.47391,1.14073,0.97158,0.94998,0.97253,0.62111,1.29013,0.51342,1.32366,0.000381776,0.000381776,0.000381776
49,615.291,1.05076,0.48089,1.12931,0.96138,0.95383,0.97223,0.61352,1.31802,0.51689,1.3499,0.000374707,0.000374707,0.000374707
50,627.465,1.04771,0.46912,1.13341,0.96924,0.94408,0.96762,0.62283,1.26963,0.52613,1.30849,0.000367639,0.000367639,0.000367639
51,639.599,1.04943,0.47264,1.13567,0.96676,0.96094,0.97052,0.62205,1.29709,0.49196,1.32232,0.00036057,0.00036057,0.00036057
52,651.948,1.03415,0.47327,1.12878,0.97207,0.9582,0.97526,0.62956,1.28234,0.49294,1.31393,0.000353501,0.000353501,0.000353501
53,664.02,1.03224,0.46874,1.13174,0.97442,0.95688,0.97719,0.6225,1.29989,0.50432,1.32588,0.000346433,0.000346433,0.000346433
54,676.514,1.01954,0.45609,1.117,0.96437,0.95371,0.97136,0.6176,1.30237,0.50566,1.33379,0.000339364,0.000339364,0.000339364
55,688.636,1.00228,0.45434,1.11122,0.9617,0.95088,0.97033,0.61554,1.31091,0.51632,1.33579,0.000332296,0.000332296,0.000332296
56,700.908,1.02225,0.45879,1.10393,0.97342,0.9421,0.97,0.62239,1.28378,0.50819,1.30651,0.000325227,0.000325227,0.000325227
57,713.014,1.01279,0.45165,1.11803,0.97036,0.95601,0.97518,0.62488,1.29958,0.49545,1.32347,0.000318158,0.000318158,0.000318158
58,725.261,1.01316,0.45127,1.11473,0.96866,0.95502,0.97325,0.61557,1.32324,0.51597,1.34515,0.00031109,0.00031109,0.00031109
59,737.406,0.99915,0.44827,1.1168,0.96825,0.95112,0.9734,0.61584,1.32708,0.50774,1.34961,0.000304021,0.000304021,0.000304021
