epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,460.367,1.09689,0.62252,1.07028,0.95398,0.95603,0.96697,0.59505,1.33583,0.57517,1.19972,0.000424187,0.000424187,0.000424187
43,470.891,1.10224,0.61913,1.07516,0.95907,0.9494,0.97231,0.60544,1.29058,0.56217,1.17708,0.000417119,0.000417119,0.000417119
44,480.362,1.09908,0.61031,1.07553,0.95991,0.94456,0.96864,0.60126,1.29472,0.57532,1.17145,0.00041005,0.00041005,0.00041005
45,490.94,1.10081,0.5942,1.07229,0.96548,0.94228,0.97148,0.61167,1.29398,0.57362,1.16385,0.000402982,0.000402982,0.000402982
46,501.293,1.09975,0.59404,1.06671,0.96823,0.94274,0.97225,0.61364,1.28038,0.55716,1.16027,0.000395913,0.000395913,0.000395913
47,511.554,1.08348,0.58317,1.06303,0.96775,0.95069,0.97477,0.61157,1.28276,0.54977,1.17226,0.000388844,0.000388844,0.000388844
48,521.733,1.08756,0.58497,1.07472,0.96475,0.95389,0.97412,0.61854,1.27902,0.55443,1.16389,0.000381776,0.000381776,0.000381776
49,531.176,1.07672,0.58605,1.05902,0.9726,0.95129,0.9739,0.61161,1.2965,0.55555,1.1742,0.000374707,0.000374707,0.000374707
50,541.601,1.07569,0.57404,1.06051,0.96685,0.94551,0.97431,0.61393,1.28058,0.5498,1.16379,0.000367639,0.000367639,0.000367639
51,551.915,1.06743,0.56952,1.0624,0.9716,0.93474,0.97438,0.61624,1.28632,0.54927,1.16167,0.00036057,0.00036057,0.00036057
52,562.653,1.06815,0.58486,1.05631,0.96875,0.94097,0.97123,0.60465,1.3087,0.56386,1.17711,0.000353501,0.000353501,0.000353501
53,572.997,1.06999,0.57791,1.06079,0.96511,0.95203,0.9737,0.61126,1.29359,0.55328,1.17385,0.000346433,0.000346433,0.000346433
54,582.903,1.05239,0.55968,1.05148,0.96848,0.94856,0.97392,0.60735,1.30041,0.55285,1.17598,0.000339364,0.000339364,0.000339364
55,593.47,1.04638,0.56569,1.0546,0.96634,0.94826,0.97103,0.60693,1.292,0.55491,1.17838,0.000332296,0.000332296,0.000332296
56,603.857,1.06125,0.56851,1.04781,0.96588,0.94514,0.97071,0.61387,1.28802,0.55932,1.16467,0.000325227,0.000325227,0.000325227
57,614.495,1.04902,0.55499,1.05894,0.96494,0.94198,0.97151,0.61267,1.27574,0.56147,1.15971,0.000318158,0.000318158,0.000318158
58,625.053,1.05927,0.55343,1.05709,0.97079,0.94483,0.97275,0.61656,1.29318,0.56677,1.16445,0.00031109,0.00031109,0.00031109
59,634.769,1.04392,0.54829,1.05415,0.97168,0.94615,0.97119,0.60512,1.30783,0.54905,1.18202,0.000304021,0.000304021,0.000304021
60,645.111,1.04199,0.54661,1.05232,0.96167,0.9502,0.96984,0.60371,1.31862,0.55917,1.1858,0.000296953,0.000296953,0.000296953
61,655.744,1.04139,0.53463,1.04602,0.96741,0.94354,0.97063,0.6107,1.29866,0.543,1.17874,0.000289884,0.000289884,0.000289884
62,666.321,1.04762,0.5413,1.05137,0.95175,0.95421,0.96899,0.59885,1.30811,0.54202,1.18223,0.000282815,0.000282815,0.000282815
63,676.716,1.01872,0.53091,1.0482,0.96418,0.93831,0.97008,0.60143,1.3046,0.55443,1.20316,0.000275747,0.000275747,0.000275747
64,686.167,1.01831,0.52854,1.03406,0.96566,0.96328,0.97285,0.6072,1.29951,0.5238,1.18271,0.000268678,0.000268678,0.000268678
65,696.408,1.03365,0.53152,1.04837,0.95552,0.95688,0.97255,0.60333,1.30172,0.52988,1.1887,0.00026161,0.00026161,0.00026161
66,706.724,1.02243,0.54015,1.04635,0.97153,0.93608,0.97146,0.61024,1.30626,0.54404,1.18544,0.000254541,0.000254541,0.000254541
67,716.918,1.02837,0.53927,1.03426,0.96579,0.94098,0.97018,0.61058,1.30164,0.54528,1.18635,0.000247472,0.000247472,0.000247472
68,726.83,1.01946,0.52198,1.04413,0.97593,0.93223,0.96963,0.60239,1.31567,0.54865,1.19168,0.000240404,0.000240404,0.000240404
69,736.485,1.01262,0.52894,1.03823,0.97621,0.94238,0.97072,0.61102,1.31873,0.53961,1.19629,0.000233335,0.000233335,0.000233335
70,746.84,1.00419,0.51596,1.03321,0.97173,0.94238,0.96956,0.60147,1.32667,0.54079,1.18963,0.000226267,0.000226267,0.000226267
71,757.161,1.00477,0.52026,1.03827,0.97411,0.9432,0.96883,0.61705,1.307,0.54489,1.18436,0.000219198,0.000219198,0.000219198
72,768.055,1.00119,0.51192,1.03356,0.97355,0.94071,0.96966,0.60575,1.32818,0.55003,1.19072,0.000212129,0.000212129,0.000212129
73,778.246,0.99694,0.5099,1.02967,0.97043,0.93487,0.96774,0.60326,1.32268,0.55115,1.19292,0.000205061,0.000205061,0.000205061
74,788.299,0.98327,0.50541,1.02407,0.96445,0.94261,0.96551,0.60716,1.32429,0.56029,1.18509,0.000197992,0.000197992,0.000197992
75,799.082,0.99479,0.51615,1.02835,0.96987,0.93131,0.96924,0.59979,1.33963,0.54606,1.19878,0.000190924,0.000190924,0.000190924
76,809.752,0.98773,0.5169,1.03204,0.96446,0.94573,0.96877,0.60672,1.31187,0.53392,1.1906,0.000183855,0.000183855,0.000183855
77,820.457,0.98906,0.50743,1.02509,0.96281,0.9434,0.97115,0.59877,1.32327,0.53355,1.19727,0.000176786,0.000176786,0.000176786
78,830.887,0.98209,0.50334,1.02119,0.96615,0.94362,0.97074,0.6005,1.33154,0.53981,1.2017,0.000169718,0.000169718,0.000169718
79,840.547,0.97213,0.50848,1.02503,0.96269,0.94407,0.96787,0.59712,1.35101,0.5508,1.20985,0.000162649,0.000162649,0.000162649
80,851.049,0.98449,0.50569,1.01789,0.96337,0.94638,0.96827,0.59677,1.33401,0.55388,1.20208,0.000155581,0.000155581,0.000155581
81,861.573,0.96295,0.49257,1.02817,0.96849,0.93938,0.97092,0.60319,1.32249,0.54361,1.18865,0.000148512,0.000148512,0.000148512
82,871.969,0.96665,0.49543,1.02082,0.96427,0.94587,0.9717,0.60427,1.31677,0.53475,1.18948,0.000141443,0.000141443,0.000141443
83,881.974,0.9598,0.48983,1.01372,0.97274,0.94342,0.97223,0.60162,1.31631,0.5272,1.19341,0.000134375,0.000134375,0.000134375
84,891.643,0.94838,0.47985,1.00792,0.97164,0.94183,0.97429,0.60497,1.32488,0.52247,1.20055,0.000127306,0.000127306,0.000127306
85,902.269,0.95955,0.4875,1.0208,0.97235,0.94119,0.97265,0.59929,1.33662,0.53232,1.20759,0.000120238,0.000120238,0.000120238
86,912.797,0.95134,0.49699,1.01927,0.97141,0.93676,0.97319,0.60292,1.32464,0.53588,1.19976,0.000113169,0.000113169,0.000113169
87,923.433,0.94907,0.48313,1.01188,0.97154,0.93813,0.97052,0.60228,1.33644,0.53756,1.20207,0.0001061,0.0001061,0.0001061
88,933.494,0.93482,0.47283,1.00265,0.95508,0.94877,0.97098,0.60123,1.33237,0.53717,1.20395,9.90318e-05,9.90318e-05,9.90318e-05
89,943.533,0.9329,0.47954,1.0093,0.96511,0.94304,0.97153,0.6026,1.32742,0.53516,1.19598,9.19632e-05,9.19632e-05,9.19632e-05
90,954.346,0.93428,0.48071,1.00597,0.96464,0.94051,0.97146,0.59778,1.33217,0.53672,1.20407,8.48946e-05,8.48946e-05,8.48946e-05
91,967.094,0.93398,0.46576,1.03732,0.95587,0.94861,0.96975,0.59503,1.32982,0.53353,1.20348,7.7826e-05,7.7826e-05,7.7826e-05
92,977.764,0.90449,0.45015,1.02114,0.95994,0.95078,0.96978,0.59015,1.34278,0.54304,1.21675,7.07574e-05,7.07574e-05,7.07574e-05
93,988.303,0.89404,0.44621,1.01741,0.96613,0.94412,0.97046,0.59497,1.34526,0.53607,1.21903,6.36888e-05,6.36888e-05,6.36888e-05
94,998.043,0.89786,0.44002,1.01455,0.97161,0.93615,0.97025,0.59516,1.33791,0.54054,1.21494,5.66202e-05,5.66202e-05,5.66202e-05
95,1007.88,0.87917,0.43085,1.0121,0.96263,0.94639,0.96991,0.59229,1.33119,0.53447,1.21479,4.95516e-05,4.95516e-05,4.95516e-05
96,1018.52,0.86826,0.43175,1.00989,0.9655,0.94069,0.96988,0.59821,1.32953,0.53116,1.20977,4.2483e-05,4.2483e-05,4.2483e-05
97,1028.79,0.87487,0.42896,1.00947,0.97342,0.93375,0.97129,0.59513,1.33528,0.53444,1.21355,3.54144e-05,3.54144e-05,3.54144e-05
98,1039.19,0.86447,0.42257,1.01293,0.97348,0.93346,0.97065,0.59565,1.33582,0.53177,1.21719,2.83458e-05,2.83458e-05,2.83458e-05
99,1048.57,0.87471,0.43069,1.00725,0.97383,0.93531,0.97107,0.5951,1.33819,0.53279,1.2159,2.12772e-05,2.12772e-05,2.12772e-05
100,1058.84,0.8486,0.41816,0.99739,0.97393,0.9343,0.97093,0.5964,1.33536,0.5327,1.21555,1.42086e-05,1.42086e-05,1.42086e-05
